"X","province_state","country_region","last_update","confirmed","deaths","recovered","lon","lat","geoAddress"
60,"Lackland, TX","US","2020-02-21 23:23:06",2,0,0,-98.6134047,29.3829358,"w military dr, lackland afb, tx 78236, usa"
61,"San Benito, CA","US","2020-02-03 03:53:02",2,0,0,-120.9876321,36.5760883,"san benito county, ca, usa"
62,"San Diego County, CA","US","2020-02-21 05:43:02",2,0,1,-117.1610966,32.7157305,"san diego county, ca, usa"
63,"Santa Clara, CA","US","2020-02-21 05:23:04",2,0,1,-121.9552356,37.3541079,"santa clara, ca, usa"
64,"Belgium","Belgium","2020-02-17 04:23:06",1,0,1,4.469936,50.503887,"belgium"
65,"Cambodia","Cambodia","2020-02-12 07:43:02",1,0,1,104.990963,12.565679,"cambodia"
66,"London, ON","Canada","2020-02-12 18:53:03",1,0,1,-81.2452768,42.9849233,"london, on, canada"
67,"Egypt","Egypt","2020-02-21 18:53:02",1,0,0,30.802498,26.820553,"egypt"
68,"Finland","Finland","2020-02-12 00:03:12",1,0,1,25.7481511,61.92411,"finland"
69,"From Diamond Princess","Israel","2020-02-21 15:33:03",1,0,0,-73.9614914,40.8642959,"fort lee, nj 07024, usa"
70,"None","Lebanon","2020-02-21 15:33:03",1,0,0,-122.4318979,37.797695,"1980 union st, san francisco, ca 94123, usa"
71,"Tibet","Mainland China","2020-02-12 06:43:02",1,0,1,88.7878678,30.1533605,"tibet, china"
72,"Nepal","Nepal","2020-02-12 14:43:03",1,0,1,84.124008,28.394857,"nepal"
73,"Sri Lanka","Sri Lanka","2020-02-08 03:43:03",1,0,1,80.771797,7.873054,"sri lanka"
74,"Sweden","Sweden","2020-02-01 02:13:26",1,0,0,18.643501,60.128161,"sweden"
75,"Boston, MA","US","2020-02-01 19:43:03",1,0,0,-71.0588801,42.3600825,"boston, ma, usa"
76,"Humboldt County, CA","US","2020-02-21 05:13:09",1,0,0,-123.8695086,40.7450055,"humboldt county, ca, usa"
77,"Los Angeles, CA","US","2020-02-01 19:53:03",1,0,0,-118.2436849,34.0522342,"los angeles, ca, usa"
78,"Madison, WI","US","2020-02-05 21:53:02",1,0,0,-89.4012302,43.0730517,"madison, wi, usa"
79,"Orange, CA","US","2020-02-01 19:53:03",1,0,0,-117.8531007,33.7879139,"orange, ca, usa"
80,"Sacramento County, CA","US","2020-02-21 23:13:16",1,0,0,-121.3541631,38.47467,"sacramento county, ca, usa"
81,"San Antonio, TX","US","2020-02-13 18:53:02",1,0,0,-98.4936282,29.4241219,"san antonio, tx, usa"
82,"Seattle, WA","US","2020-02-09 07:03:04",1,0,1,-122.3320708,47.6062095,"seattle, wa, usa"
83,"Tempe, AZ","US","2020-02-01 19:43:03",1,0,0,-111.9400054,33.4255104,"tempe, az, usa"
