id,lat,lng,label,population,risk
399,21.9731,100.7631,"Jinghong",1382281,0.0010024868552988293
402,30.5569,111.4797,"Yichang",11664371,0.02187083725174713
403,29.345,120.0325,"Yiwu",6139309,0.0010586903351933606
405,31.4289,104.7408,"Mianyang",8917604,0.0032058932951299084
407,29.8267,121.4619,"Ningbo",6757958,0.011404557855648343
412,31.1433,121.8053,"Shanghai",20308438,0.058279584599271655
413,41.6397,123.4833,"Shenyang",13195977,0.02142844320794063
414,24.4014,98.5322,"Mangshi",1327739,0.0030977466455653657
416,23.7389,100.025,"Lincang",2848292,0.00018466862735839665
417,26.54,101.7981,"Panzhihua",4045241,0.0008761518924417703
420,40.08,116.5844,"Beijing",28331507,0.052410661500430444
421,24.9378,98.4856,"Tengchong",1002556,0.001149959586063702
429,40.8514,111.8242,"Hohhot",4401373,0.00666789758568451
430,24.5442,118.1278,"Xiamen",8240158,0.028871064215741454
432,32.9811,112.6156,"Nanyang",12735325,0.012228316438566903
434,28.5653,121.4303,"Taizhou",5349916,0.0025766763203646332
436,44.5242,129.5689,"Mudanjiang",3143833,0.00016451403065204613
437,25.0856,104.9594,"Xingyi",7357766,0.001948606359004701
438,31.9911,116.9892,"Hefei",14358834,0.011691351604748532
439,36.5286,102.0403,"Xining",3472426,0.0038333078581797753
441,42.8828,129.4514,"Yanji",1789684,0.00031772179894908785
442,33.4261,120.2031,"Yancheng",6283873,0.002299919172127404
443,29.7328,118.2572,"Huangshan",1892668,0.000788323681787458
445,31.7419,118.8619,"Nanjing",13651608,0.0005826811582196734
451,21.5394,109.2939,"Beihai",5621760,0.005813538918449711
452,27.3006,105.3017,"Bijie",6594987,0.0019540136826345644
453,37.7469,112.6283,"Taiyuan",11233266,0.007885694627900054
454,32.8808,115.7336,"Fuyang",25324297,0.022179985842074708
455,23.3925,113.2989,"Guangzhou",39293380,0.03463052977991434
456,28.1936,113.2178,"Changsha",18325936,0.00189293739968727
457,30.2294,120.4344,"Hangzhou",12817942,0.019851140416561098
458,24.9922,102.7436,"Kunming",11115277,0.03993856494574285
460,26.5386,106.8008,"Guiyang",7252992,0.013463277177125968
461,25.2181,110.0392,"Guilin",4941136,0.0018791303038467849
465,27.9131,120.8522,"Wenzhou",9918949,0.01553264730365944
467,25.6756,116.7456,"Longyan",5754349,0.0012076377932658821
468,43.9156,115.9633,"Xilinhot",881461,0.00034983808581505417
469,21.2153,110.3583,"Zhanjiang",11700739,0.009232284531481767
470,22.6083,108.1725,"Nanning",8261012,0.01664213379511747
471,30.5825,117.0503,"Anqing",4642340,0.007530632743352023
473,22.3089,113.9147,"Hong Kong",36745880,0.06734997684081435
475,19.9347,110.4589,"Haikou",5945540,0.036940444329292985
476,36.8572,117.2161,"Jinan",24300017,0.005680813460761326
480,35.1164,111.0336,"Yuncheng",12627248,0.0017722945098914652
482,28.9186,111.6408,"Changde",10758043,0.0015543298534703629
483,43.9961,125.6853,"Changchun",16217434,0.009859043637232476
485,36.2475,113.1258,"Changzhi",8931656,0.0014527702697324227
486,39.7189,113.1461,"Datong",7535077,0.0023698867833915056
523,8.0958,98.9889,"Krabi",613788,0.0002901935657044937
531,18.7714,98.9628,"Chiang Mai",1497016,0.001603192455112593
535,9.1361,99.1392,"Surat Thani",891190,0.0011194818982038105
538,13.6858,100.7489,"Bangkok",23541053,0.014622576683141748
549,8.1122,98.3053,"Phuket",711102,0.004471373196790943
566,27.6967,85.3592,"Kathmandu",4670436,0.00022186452395192056
575,17.9883,102.5633,"Vientiane",1706759,0.00019417241900890044
596,14.5086,121.0194,"Manila",26922690,0.0011144022589817065
626,-26.1392,28.2461,"Johannesburg",13748925,0.00012158306703180708
733,50.0331,8.5706,"Frankfurt",6970523,0.00033984270856381876
742,52.5597,13.2878,"Berlin",5387837,0.0001371496396113317
748,48.3539,11.7861,"Munich",4802084,0.0001278096901647077
750,51.2894,6.7667,"Duesseldorf",5382885,0.00011797818461189823
758,7.1803,79.8853,"Colombo",9032691,0.00016648031406588034
789,53.3536,-2.275,"Manchester",5485344,0.00012338550824176153
791,51.4775,-0.4614,"London (UK)",17233070,0.0017162548722008135
837,52.3081,4.7642,"Amsterdam",9166721,0.00018106374493848782
875,16.9072,96.1333,"Yangon",11684460,0.00027053052510432856
884,21.7022,95.9781,"Mandalay",7168138,0.0001635308594505829
1085,13.1989,77.7056,"Bengaluru",20037284,0.0002603713056492134
1090,19.0886,72.8681,"Mumbai",28236589,0.00011666732900267543
1095,22.6547,88.4467,"Kolkata",72296808,0.00016238387553978598
1099,28.5664,77.1031,"Delhi",62390146,0.00029347073422209685
1125,21.2211,105.8072,"Hanoi",20834462,0.00043717471086863487
1129,10.8189,106.6519,"Ho Chi Minh City",16228217,0.002708090922443796
1137,11.9981,109.2192,"Nha Trang",1733076,0.00014796431636560442
1139,16.0439,108.1994,"Da Nang",1821939,0.000143703976646538
1238,-8.7481,115.1672,"Denpasar",5493498,0.002119019269392796
1254,-7.3797,112.7869,"Surabaya",14697428,0.0001071635078576255
1314,-6.1256,106.6558,"Jakarta",36994844,0.0011883024960625689
1479,4.1917,73.5292,"Male",172562,0.00022923816049016423
1535,49.0097,2.5478,"Paris",13528665,0.0011270193769459338
1595,-34.945,138.5306,"Adelaide",1303638,0.0002369395109307136
1603,-27.3842,153.1175,"Brisbane",1972855,0.000427834790916557
1612,-33.9461,151.1772,"Sydney (AU)",4670715,0.0021855458699354146
1615,-31.9403,115.9669,"Perth",1700500,0.00020203764114787572
1648,-37.6733,144.8433,"Melbourne (AU)",4144035,0.0014860335405091861
1890,55.4089,37.9064,"Moscow",24597359,0.00059562596059166
2217,41.9786,-87.9047,"Chicago",9723114,0.00018892896707746308
